"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify footer section exists on home page","26","Verify footer exists","Tests","Mon Jan 12 12:34:58 UTC 2026","passed","Mon Jan 12 12:34:58 UTC 2026","TestHome","test_home","",""
"Verify product can be added to cart","1611","Add product to cart","Tests","Mon Jan 12 12:34:45 UTC 2026","passed","Mon Jan 12 12:34:47 UTC 2026","TestCart","test_cart","",""
"Verify cart item button is visible","564","Verify cart item button","Tests","Mon Jan 12 12:34:35 UTC 2026","passed","Mon Jan 12 12:34:35 UTC 2026","TestCart","test_cart","",""
"Verify that the site logo is visible on home page","21","Verify logo visibility","Tests","Mon Jan 12 12:34:51 UTC 2026","passed","Mon Jan 12 12:34:51 UTC 2026","TestHome","test_home","",""
"Verify cart page title is correct","560","Verify cart page title","Tests","Mon Jan 12 12:34:37 UTC 2026","failed","Mon Jan 12 12:34:38 UTC 2026","TestCart","test_cart","",""
"Verify message when searching invalid product","1049","Invalid product search","Tests","Mon Jan 12 12:35:38 UTC 2026","passed","Mon Jan 12 12:35:40 UTC 2026","TestProducts","test_products","",""
"Verify My Account menu opens and shows Login option","563","Verify My Account menu","Tests","Mon Jan 12 12:34:55 UTC 2026","failed","Mon Jan 12 12:34:56 UTC 2026","TestHome","test_home","",""
"Verify that search input field is displayed","21","Verify search box visibility","Tests","Mon Jan 12 12:34:53 UTC 2026","passed","Mon Jan 12 12:34:53 UTC 2026","TestHome","test_home","",""
"Verify privacy policy must be accepted","2674","Privacy policy required","Tests","Mon Jan 12 12:35:53 UTC 2026","passed","Mon Jan 12 12:35:56 UTC 2026","TestRegister","test_register","",""
"verify login button is visible","1374","Login button visibility","Tests","Mon Jan 12 12:35:21 UTC 2026","passed","Mon Jan 12 12:35:23 UTC 2026","TestLogin","test_login","",""
"Verify that login page opens successfully","1741","Open login page","Tests","Mon Jan 12 12:35:00 UTC 2026","passed","Mon Jan 12 12:35:02 UTC 2026","TestLogin","test_login","",""
"Verify product can be removed from cart","3040","Remove product from cart","Tests","Mon Jan 12 12:34:40 UTC 2026","failed","Mon Jan 12 12:34:43 UTC 2026","TestCart","test_cart","",""
"Verify message displayed when cart is empty","564","Verify empty cart message","Tests","Mon Jan 12 12:34:32 UTC 2026","passed","Mon Jan 12 12:34:33 UTC 2026","TestCart","test_cart","",""
"Verify Continue button is displayed","1371","Continue button visibility","Tests","Mon Jan 12 12:36:02 UTC 2026","passed","Mon Jan 12 12:36:03 UTC 2026","TestRegister","test_register","",""
"Verify product details page opens","1607","Select product","Tests","Mon Jan 12 12:35:31 UTC 2026","passed","Mon Jan 12 12:35:33 UTC 2026","TestProducts","test_products","",""
"Verify error message when submitting empty login form","3982","Empty login submission","Tests","Mon Jan 12 12:35:12 UTC 2026","passed","Mon Jan 12 12:35:16 UTC 2026","TestLogin","test_login","",""
"Verify error message for invalid login credentials","3920","Invalid login attempt","Tests","Mon Jan 12 12:35:06 UTC 2026","passed","Mon Jan 12 12:35:09 UTC 2026","TestLogin","test_login","",""
"Verify product is displayed for valid search","1059","product result in product page","Tests","Mon Jan 12 12:35:28 UTC 2026","passed","Mon Jan 12 12:35:29 UTC 2026","TestProducts","test_products","",""
"Verify that home page title contains 'Your Store'","5","Verify home page title","Tests","Mon Jan 12 12:34:49 UTC 2026","passed","Mon Jan 12 12:34:49 UTC 2026","TestHome","test_home","",""
"Verify product is added to cart successfully","1606","Add product to cart","Tests","Mon Jan 12 12:35:35 UTC 2026","passed","Mon Jan 12 12:35:36 UTC 2026","TestProducts","test_products","",""
"Verify validation errors for empty register credentials","5986","Submit empty register credentials","Tests","Mon Jan 12 12:35:45 UTC 2026","failed","Mon Jan 12 12:35:51 UTC 2026","TestRegister","test_register","",""
"Verify Forgotten Password link is visible","1381","Forgot password link","Tests","Mon Jan 12 12:35:18 UTC 2026","passed","Mon Jan 12 12:35:19 UTC 2026","TestLogin","test_login","",""
"Verify confirm password field is present","1372","Confirm password field visibility","Tests","Mon Jan 12 12:35:58 UTC 2026","passed","Mon Jan 12 12:36:00 UTC 2026","TestRegister","test_register","",""
"Verify product in page title","1050","Search product","Tests","Mon Jan 12 12:35:25 UTC 2026","passed","Mon Jan 12 12:35:26 UTC 2026","TestProducts","test_products","",""
"Verify that register account page opens","1378","Open register page","Tests","Mon Jan 12 12:35:42 UTC 2026","passed","Mon Jan 12 12:35:43 UTC 2026","TestRegister","test_register","",""
